Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Allen Iverson,29,PHI,PG,75,75,3174,771,1818,.424,104,338,.308,667,1480,.451,.453,656,786,.835,51,248,299,596,180,9,344,140,2302,0,MVP-5DPOY-11ASNBA1,iversal01
2,LeBron James,20,CLE,SF,80,80,3388,795,1684,.472,108,308,.351,687,1376,.499,.504,477,636,.750,111,477,588,577,177,52,262,146,2175,4,MVP-6ASNBA2,jamesle01
3,Amar'e Stoudemire,22,PHO,C,80,80,2889,747,1336,.559,3,16,.188,744,1320,.564,.560,583,795,.733,219,494,713,131,77,130,189,278,2080,0,MVP-9ASNBA2,stoudam01
4,Gilbert Arenas,23,WAS,PG,80,80,3274,656,1523,.431,205,562,.365,451,961,.469,.498,521,640,.814,83,295,378,411,139,23,242,245,2038,0,MVP-12ASNBA3,arenagi01
5,Dirk Nowitzki,26,DAL,PF,78,78,3020,663,1445,.459,91,228,.399,572,1217,.470,.490,615,708,.869,96,661,757,240,97,119,176,219,2032,0,MVP-3ASNBA1,nowitdi01
6,Tracy McGrady,25,HOU,SF,78,78,3182,715,1660,.431,142,435,.326,573,1225,.468,.473,431,557,.774,71,413,484,448,135,52,201,167,2003,0,MVP-7ASNBA3,mcgratr01
7,Vince Carter,28,2TM,SF,77,76,2828,696,1541,.452,127,313,.406,569,1228,.463,.493,367,460,.798,106,295,401,327,109,48,168,243,1886,0,MVP-13AS,cartevi01
7,Vince Carter,28,TOR,SG,20,20,608,124,302,.411,19,59,.322,105,243,.432,.442,50,72,.694,28,38,66,61,25,15,22,56,317,0,,cartevi01
7,Vince Carter,28,NJN,SF,57,56,2220,572,1239,.462,108,254,.425,464,985,.471,.505,317,388,.817,78,257,335,266,84,33,146,187,1569,0,,cartevi01
8,Ray Allen,29,SEA,SG,78,78,3064,640,1494,.428,209,556,.376,431,938,.459,.498,378,428,.883,79,268,347,289,84,5,171,167,1867,0,MVP-9ASNBA2,allenra02
9,Dwyane Wade,23,MIA,SG,77,77,2974,630,1318,.478,13,45,.289,617,1273,.485,.483,581,762,.762,110,287,397,520,121,82,321,230,1854,1,MVP-8DPOY-21ASNBA2DEF2,wadedw01
10,Kobe Bryant,26,LAL,SG,66,66,2689,573,1324,.433,131,387,.339,442,937,.472,.482,542,664,.816,95,297,392,398,86,53,270,174,1819,5,ASNBA3,bryanko01
11,Kevin Garnett,28,MIN,PF,82,82,3121,683,1360,.502,6,25,.240,677,1335,.507,.504,445,549,.811,247,861,1108,466,121,112,222,207,1817,1,MVP-11DPOY-9ASNBA2DEF1,garneke01
12,StePHOn Marbury,27,NYK,PG,82,82,3281,604,1308,.462,115,325,.354,489,983,.497,.506,458,549,.834,50,198,248,668,122,6,233,186,1781,0,,marbust01
13,Paul Pierce,27,BOS,SF,82,82,2960,556,1223,.455,108,292,.370,448,931,.481,.499,549,668,.822,78,461,539,348,133,39,230,255,1769,2,AS,piercpa01
14,Michael Redd,25,MIL,SG,75,75,2848,625,1418,.441,104,293,.355,521,1125,.463,.477,369,432,.854,72,240,312,172,63,8,133,152,1723,0,,reddmi01
15,Shaquille O'Neal,32,MIA,C,73,73,2492,658,1095,.601,0,0,,658,1095,.601,.601,353,765,.461,253,507,760,200,36,171,203,262,1669,0,MVP-2DPOY-8ASNBA1,onealsh01
16,Steve Francis,27,ORL,PG,78,78,2978,563,1330,.423,38,127,.299,525,1203,.436,.438,499,606,.823,126,324,450,547,112,28,317,273,1663,0,,francst01
17,Elton Brand,25,LAC,PF,81,81,3001,629,1251,.503,0,3,.000,629,1248,.504,.503,364,484,.752,296,474,770,208,62,169,183,240,1622,0,,brandel01
18,Mike Bibby,26,SAC,PG,80,80,3084,560,1264,.443,131,364,.360,429,900,.477,.495,320,413,.775,77,255,332,541,124,30,203,191,1571,1,,bibbymi01
19,Shawn Marion,26,PHO,PF,81,81,3146,613,1289,.476,114,341,.334,499,948,.526,.520,229,275,.833,235,680,915,154,163,119,125,199,1569,0,MVP-14DPOY-5ASNBA3,mariosh01
20,Jason Richardson,24,GSW,SG,72,72,2724,610,1368,.446,125,370,.338,485,998,.486,.492,214,309,.693,125,299,424,281,105,32,169,156,1559,0,,richaja01
21,Carmelo Anthony,20,DEN,SF,75,75,2608,530,1230,.431,42,158,.266,488,1072,.455,.448,456,573,.796,141,285,426,194,68,30,224,229,1558,0,,anthoca01
22,Jalen Rose,32,TOR,SF,81,65,2710,527,1159,.455,108,274,.394,419,885,.473,.501,333,390,.854,44,232,276,209,63,10,180,190,1495,0,,roseja01
