Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Shai Gilgeous-Alexander,27,OKC,PG,15,15,499,161,303,.531,34,88,.386,127,215,.591,.587,123,136,.904,6,67,73,101,22,14,26,28,479,0,,gilgesh01
2,Lauri Markkanen,28,UTA,PF,14,14,502,146,301,.485,52,135,.385,94,166,.566,.571,85,96,.885,32,53,85,29,14,7,19,29,429,0,,markkla01
3,Tyrese Maxey,25,PHI,PG,13,13,525,140,307,.456,50,121,.413,90,186,.484,.537,93,105,.886,4,60,64,100,18,10,34,33,423,0,,maxeyty01
4,Devin Booker,29,PHO,SG,15,15,530,143,290,.493,29,84,.345,114,206,.553,.543,102,113,.903,16,47,63,103,14,4,57,42,417,0,,bookede01
5,Jaylen Brown,29,BOS,SF,15,15,481,156,310,.503,30,86,.349,126,224,.563,.552,71,92,.772,14,69,83,61,12,5,53,47,413,0,,brownja02
6,Giannis Antetokounmpo,31,MIL,PF,13,13,414,156,248,.629,9,18,.500,147,230,.639,.647,84,132,.636,48,93,141,89,12,15,46,34,405,0,,antetgi01
7,Donovan Mitchell,29,CLE,SG,13,13,443,135,265,.509,52,134,.388,83,131,.634,.608,80,97,.825,9,51,60,72,19,6,42,30,402,0,,mitchdo01
8,Luka Dončić,26,LAL,PG,11,11,405,117,248,.472,38,120,.317,79,128,.617,.548,109,138,.790,9,85,94,99,21,6,45,29,381,1,,doncilu01
9,Nikola Jokić,30,DEN,C,13,13,448,142,219,.648,24,61,.393,118,158,.747,.703,72,84,.857,40,134,174,144,23,11,41,35,380,8,,jokicni01
10,Stephen Curry,37,GSW,PG,13,13,401,116,250,.464,58,149,.389,58,101,.574,.580,73,80,.913,3,44,47,53,20,5,37,29,363,0,,curryst01
11,Deni Avdija,25,POR,SF,14,14,473,115,238,.483,35,94,.372,80,144,.556,.557,92,107,.860,18,72,90,67,7,11,48,50,357,0,,avdijde01
12,Julius Randle,31,MIN,PF,14,14,464,118,227,.520,26,69,.377,92,158,.582,.577,81,95,.853,20,82,102,85,18,3,35,36,343,2,,randlju01
13,Franz Wagner,24,ORL,SF,15,15,538,113,247,.457,25,73,.342,88,174,.506,.508,91,109,.835,27,69,96,57,17,7,30,39,342,0,,wagnefr01
14,James Harden,36,LAC,PG,13,13,470,99,227,.436,47,125,.376,52,102,.510,.540,95,103,.922,8,74,82,113,12,7,50,25,340,2,,hardeja01
15,Austin Reaves,27,LAL,SG,12,12,433,102,208,.490,31,95,.326,71,113,.628,.565,102,117,.872,8,53,61,91,16,1,41,30,337,0,,reaveau01
16,Cade Cunningham,24,DET,PG,12,12,441,116,266,.436,22,80,.275,94,186,.505,.477,73,90,.811,12,53,65,119,17,9,43,45,327,1,,cunnica01
17,Pascal Siakam,31,IND,PF,13,13,454,113,249,.454,25,69,.362,88,180,.489,.504,73,108,.676,23,69,92,62,15,5,32,42,324,0,,siakapa01
18,Keyonte George,22,UTA,PG,14,14,482,100,234,.427,28,96,.292,72,138,.522,.487,94,101,.931,9,46,55,99,15,4,47,32,322,0,,georgke01
