iteration,feature_method,model_type,preprocessor,val_exact,val_within1,test_exact,test_within1,test_overall
3,basic,lgb,standard,0.04938271604938271,0.09876543209876543,0.1111111111111111,0.24074074074074073,0.20185185185185184
4,basic,xgb,standard,0.024691358024691357,0.07407407407407407,0.037037037037037035,0.05555555555555555,0.049999999999999996
7,trend_only,xgb,minmax,0.12345679012345678,0.2962962962962963,0.537037037037037,0.8148148148148148,0.7314814814814814
8,stats_only,xgb,minmax,0.06172839506172839,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.1333333333333333
10,basic,lgb,standard,0.04938271604938271,0.16049382716049382,0.1111111111111111,0.2777777777777778,0.22777777777777777
12,trend_only,lgb,none,0.024691358024691357,0.14814814814814814,0.5185185185185185,0.7222222222222222,0.661111111111111
13,advanced,xgb,none,0.12345679012345678,0.4074074074074074,0.2962962962962963,0.6111111111111112,0.5166666666666666
15,trend_only,lgb,none,0.04938271604938271,0.19753086419753085,0.5555555555555556,0.7592592592592593,0.6981481481481481
19,stats_only,xgb,robust,0.12345679012345678,0.2962962962962963,0.037037037037037035,0.18518518518518517,0.14074074074074072
20,basic,xgb,robust,0.5555555555555556,0.8765432098765432,0.018518518518518517,0.16666666666666666,0.1222222222222222
23,trend_only,lgb,minmax,0.07407407407407407,0.2716049382716049,0.537037037037037,0.7407407407407407,0.6796296296296296
24,advanced,lgb,minmax,0.07407407407407407,0.24691358024691357,0.4444444444444444,0.6851851851851851,0.6129629629629629
25,trend_only,lgb,minmax,0.12345679012345678,0.25925925925925924,0.537037037037037,0.7407407407407407,0.6796296296296296
26,stats_only,lgb,robust,0.037037037037037035,0.09876543209876543,0.09259259259259259,0.24074074074074073,0.19629629629629627
32,trend_only,xgb,none,0.3333333333333333,0.7160493827160493,0.5740740740740741,0.7962962962962963,0.7296296296296295
33,basic,xgb,minmax,0.012345679012345678,0.04938271604938271,0.07407407407407407,0.16666666666666666,0.1388888888888889
35,trend_only,lgb,none,0.14814814814814814,0.37037037037037035,0.5555555555555556,0.7592592592592593,0.6981481481481481
36,trend_only,lgb,standard,0.13580246913580246,0.2222222222222222,0.537037037037037,0.7407407407407407,0.6796296296296296
39,basic,xgb,minmax,0.09876543209876543,0.32098765432098764,0.037037037037037035,0.2962962962962963,0.2185185185185185
40,stats_only,lgb,standard,0.0,0.08641975308641975,0.09259259259259259,0.2222222222222222,0.1833333333333333
41,trend_only,lgb,standard,0.08641975308641975,0.16049382716049382,0.4629629629629629,0.6851851851851851,0.6185185185185185
46,advanced,lgb,none,0.012345679012345678,0.07407407407407407,0.37037037037037035,0.6296296296296297,0.5518518518518518
48,advanced,xgb,standard,0.32098765432098764,0.7407407407407407,0.31481481481481477,0.7407407407407407,0.6129629629629629
50,advanced,lgb,minmax,0.037037037037037035,0.14814814814814814,0.42592592592592593,0.7222222222222222,0.6333333333333333
51,basic,xgb,standard,0.32098765432098764,0.6666666666666666,0.037037037037037035,0.14814814814814814,0.1148148148148148
52,basic,lgb,none,0.07407407407407407,0.2345679012345679,0.09259259259259259,0.25925925925925924,0.20925925925925923
