Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2011-2012,2012,ATL,2429.0,5348.0,492.0,1330.0,1937.0,4018.0,1025.0,1385.0,652.0,2066.0,2718.0,1481.0,536.0,303.0,875.0,1178.0,6375.0,0.0,0.45418848167539266,0.3699248120300752,0.48208063713290195,0.740072202166065,0.50018698578908,40.0,26.0
2011-2012,2012,BOS,2341.0,5086.0,363.0,988.0,1978.0,4098.0,1017.0,1308.0,509.0,2051.0,2560.0,1557.0,498.0,362.0,929.0,1315.0,6062.0,6.0,0.4602831301612269,0.3674089068825911,0.4826744753538311,0.7775229357798165,0.4959693275658671,39.0,27.0
2011-2012,2012,CHI,2467.0,5462.0,419.0,1117.0,2048.0,4345.0,1006.0,1394.0,915.0,2165.0,3080.0,1527.0,456.0,388.0,887.0,1139.0,6359.0,1.0,0.4516660563896009,0.37511190689346463,0.4713463751438435,0.7216642754662841,0.49002196997436837,50.0,16.0
2011-2012,2012,CHO,2193.0,5293.0,263.0,892.0,1930.0,4401.0,1090.0,1462.0,677.0,1894.0,2571.0,1326.0,397.0,361.0,898.0,1249.0,5739.0,1.0,0.4143208010580011,0.2948430493273543,0.43853669620540786,0.7455540355677155,0.439164934819573,,
2011-2012,2012,CLE,2261.0,5360.0,440.0,1273.0,1821.0,4087.0,1178.0,1645.0,841.0,1949.0,2790.0,1308.0,466.0,262.0,965.0,1317.0,6140.0,0.0,0.4218283582089552,0.34564021995286726,0.44555908979691705,0.7161094224924012,0.4628731343283582,21.0,45.0
2011-2012,2012,DAL,2398.0,5412.0,497.0,1464.0,1901.0,3948.0,1029.0,1334.0,665.0,2157.0,2822.0,1380.0,565.0,337.0,893.0,1226.0,6322.0,0.0,0.44308943089430897,0.3394808743169399,0.4815096251266464,0.7713643178410795,0.4890059127864006,36.0,30.0
2011-2012,2012,DEN,2572.0,5404.0,435.0,1311.0,2137.0,4093.0,1293.0,1760.0,738.0,2105.0,2843.0,1581.0,540.0,330.0,987.0,1297.0,6872.0,0.0,0.4759437453737972,0.3318077803203661,0.5221109210847789,0.7346590909090909,0.5161917098445595,38.0,28.0
2011-2012,2012,DET,2291.0,5232.0,317.0,916.0,1974.0,4316.0,1098.0,1461.0,775.0,1882.0,2657.0,1232.0,460.0,278.0,965.0,1293.0,5997.0,0.0,0.4378822629969419,0.3460698689956332,0.45736793327154773,0.7515400410677618,0.4681766055045872,25.0,41.0
2011-2012,2012,GSW,2489.0,5443.0,524.0,1351.0,1965.0,4092.0,951.0,1235.0,640.0,1947.0,2587.0,1470.0,528.0,362.0,887.0,1410.0,6453.0,1.0,0.4572845857064119,0.38786084381939306,0.4802052785923754,0.7700404858299595,0.5054198052544553,23.0,43.0
2011-2012,2012,HOU,2489.0,5543.0,478.0,1330.0,2011.0,4213.0,1018.0,1301.0,769.0,2014.0,2783.0,1404.0,496.0,319.0,913.0,1347.0,6474.0,1.0,0.4490348186902399,0.3593984962406015,0.4773320674103964,0.7824750192159877,0.4921522641169042,34.0,32.0
2011-2012,2012,IND,2354.0,5375.0,392.0,1064.0,1962.0,4311.0,1349.0,1724.0,826.0,2070.0,2896.0,1228.0,523.0,357.0,873.0,1430.0,6449.0,0.0,0.437953488372093,0.3684210526315789,0.4551148225469729,0.7824825986078886,0.4744186046511628,42.0,24.0
