Age,PTS
18.0,61.8
19.0,391.8121212121212
20.0,434.7863849765258
21.0,443.6941896024465
22.0,393.1193124368049
23.0,380.5693311582382
24.0,393.89461358313815
25.0,462.36279926335175
26.0,482.75126390293224
27.0,519.3061224489796
28.0,525.7083854818524
29.0,516.5373352855052
30.0,470.6056782334385
31.0,450.92379182156134
32.0,447.75955056179777
33.0,401.1823361823362
34.0,388.11787072243345
35.0,359.85929648241205
36.0,366.8814814814815
37.0,348.0506329113924
38.0,274.1090909090909
39.0,340.8888888888889
40.0,367.27272727272725
41.0,154.33333333333334
42.0,173.0
43.0,298.0
44.0,12.0
