iteration,feature_method,n_features,feature_cols,model_type,model_params,preprocessor,val_exact,val_within1,test_exact,test_within1,test_overall
1,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 300}",robust,0.08888888888888889,0.2222222222222222,0.06666666666666667,0.21666666666666667,0.17166666666666666
3,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100}",none,0.18888888888888888,0.4777777777777778,0.05,0.25,0.19
5,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300}",none,0.23333333333333334,0.5,0.13333333333333333,0.3,0.24999999999999997
6,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200}",minmax,0.06666666666666667,0.2222222222222222,0.13333333333333333,0.23333333333333334,0.2033333333333333
9,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 10, ""n_estimators"": 100}",minmax,0.011111111111111112,0.08888888888888889,0.06666666666666667,0.18333333333333335,0.14833333333333332
10,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 50}",standard,0.07777777777777778,0.23333333333333334,0.5,0.7,0.6399999999999999
12,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300}",standard,0.07777777777777778,0.36666666666666664,0.3666666666666667,0.7,0.6
15,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 50}",standard,0.05555555555555555,0.17777777777777778,0.3833333333333333,0.5666666666666667,0.5116666666666667
16,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200}",robust,0.022222222222222223,0.08888888888888889,0.06666666666666667,0.2,0.15999999999999998
17,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 100}",minmax,0.13333333333333333,0.24444444444444444,0.5166666666666666,0.7166666666666666,0.6566666666666666
18,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 100}",none,0.12222222222222222,0.3111111111111111,0.5,0.7,0.6399999999999999
19,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",none,0.03333333333333333,0.16666666666666666,0.5166666666666666,0.7333333333333334,0.6683333333333332
21,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",xgb,"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 100}",robust,0.43333333333333335,0.7,0.2,0.5833333333333333,0.46833333333333327
22,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 200}",robust,0.45555555555555555,0.8,0.06666666666666667,0.25,0.195
23,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 200}",robust,0.15555555555555556,0.4111111111111111,0.16666666666666666,0.3,0.26
25,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 100}",none,0.05555555555555555,0.1,0.03333333333333333,0.16666666666666669,0.12666666666666665
26,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 50}",standard,0.3888888888888889,0.5777777777777777,0.05,0.23333333333333334,0.17833333333333332
28,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",standard,0.05555555555555555,0.13333333333333333,0.5333333333333333,0.7333333333333334,0.6733333333333332
30,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",robust,0.044444444444444446,0.1,0.08333333333333334,0.26666666666666666,0.21166666666666664
33,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 50}",minmax,0.08888888888888889,0.13333333333333333,0.09999999999999999,0.25,0.205
35,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",none,0.07777777777777778,0.16666666666666666,0.1,0.2,0.16999999999999998
